pl_name,hostname,pl_orbsmax,pl_orbper,pl_orbeccen,pl_bmasse,pl_rade,st_mass,st_rad,st_teff
"Kepler-707 b","Kepler-707",0.0325000000,2.23749275100,0.000000,2.33000000,1.33000000,0.800000,0.760000,5099.00
"Kepler-602 b","Kepler-602",0.1224000000,15.28469497000,0.000000,5.02000000,2.09000000,1.080000,1.130000,6062.00
"Kepler-638 b","Kepler-638",0.0669500000,6.07972888000,0.000000,4.01000000,1.83000000,0.880000,0.930000,5382.00
"Kepler-1073 c","Kepler-1073",0.0483000000,4.02582254000,0.000000,3.33000000,1.64000000,1.000000,1.000000,5792.00
"K2-84 c","K2-84",0.1768000000,27.86000000000,,4.78000000,2.03000000,0.950000,0.930000,5652.00
"K2-88 b","K2-88",0.0345000000,4.61220000000,0.260000,2.04000000,1.23000000,0.258000,0.256000,3537.00
"Kepler-615 b","Kepler-615",0.0850000000,10.35584657000,0.000000,3.68000000,1.74000000,0.730000,0.690000,4655.00
"K2-89 b","K2-89",0.0146200000,1.09602600000,0.150000,0.17000000,0.61500000,0.347000,0.318000,3691.00
"K2-91 b","K2-91",0.0164000000,1.41954900000,0.090000,1.37000000,1.10000000,0.292000,0.284000,3622.00
"Kepler-737 b","Kepler-737",0.1422000000,28.59915399000,0.000000,4.50000000,1.96000000,0.510000,0.480000,3813.00
"K2-5 c","K2-5",0.0818000000,10.93241000000,,5.73000000,2.26000000,0.610000,0.570000,3930.00
"K2-5 b","K2-5",0.0532000000,5.73594000000,,4.31000000,1.91000000,0.610000,0.570000,3930.00
"Kepler-223 c","Kepler-223",0.0911700000,9.84564000000,0.150000,5.10000000,3.44000000,1.125000,1.720000,5803.00
"K2-16 b","K2-16",0.0667000000,7.61880000000,,4.74000000,2.02000000,0.680000,0.660000,4742.00
"Kepler-653 b","Kepler-653",0.1194500000,14.70748976000,0.000000,4.46000000,1.95000000,1.020000,1.190000,5665.00
"Kepler-80 e","Kepler-80",0.0491000000,4.64489000000,0.003500,4.13000000,1.60000000,0.730000,0.678000,4540.00
"Kepler-654 b","Kepler-654",0.1166400000,13.72465129000,0.000000,4.94000000,2.07000000,1.040000,1.110000,5865.00
"K2-47 b","K2-47",0.1779000000,31.63720000000,,4.23000000,1.89000000,0.750000,0.760000,5054.00
"K2-48 b","K2-48",0.1344000000,20.50650000000,,5.65000000,2.24000000,0.770000,0.730000,4899.00
"Kepler-617 b","Kepler-617",0.0219000000,1.68269614800,0.000000,2.30000000,1.32000000,0.510000,0.480000,3712.00
"K2-49 b","K2-49",0.0309000000,2.77065000000,,4.38000000,1.93000000,0.510000,0.450000,4175.00
"Kepler-589 b","Kepler-589",0.1196000000,16.54964934000,0.000000,5.77000000,2.27000000,0.880000,0.830000,5296.00
"K2-58 c","K2-58",0.0350000000,2.53726000000,,3.26000000,1.62000000,0.890000,0.860000,5413.00
"K2-58 d","K2-58",0.1517000000,22.88270000000,,3.57000000,1.71000000,0.890000,0.860000,5413.00
"Kepler-560 b","Kepler-560",0.0899000000,18.47764449000,0.170000,3.61000000,1.72000000,0.340000,0.330000,3556.00
"Kepler-496 b","Kepler-496",0.0747000000,8.30864937000,0.000000,5.99000000,2.32000000,0.860000,0.820000,5293.00
"K2-59 c","K2-59",0.0905000000,11.29540000000,,5.90000000,2.30000000,0.774000,0.731000,5055.00
"Kepler-1629 b","Kepler-1629",0.0485000000,3.87595807000,0.000000,0.38100000,0.77000000,1.010000,1.010000,5776.00
"K2-64 b","K2-64",0.0619000000,6.53044000000,,4.94000000,2.07000000,0.741000,0.726000,5312.00
"K2-69 b","K2-69",0.0591000000,7.06599000000,,5.99000000,2.32000000,0.551000,0.491000,4127.00
"K2-68 b","K2-68",0.0708000000,8.05428000000,,3.12000000,1.58000000,0.730000,0.675000,4746.00
